1. Christian McCaffrey, CAR -- RB1, $63 (Bye: 13)
2. Saquon Barkley, NYG -- RB2, $60 (Bye: 11)
3. Ezekiel Elliott, DAL -- RB3, $60 (Bye: 10)
4. Dalvin Cook, MIN -- RB4, $59 (Bye: 7)
5. Alvin Kamara, NO -- RB5, $56 (Bye: 6)
6. Michael Thomas, NO -- WR1, $51 (Bye: 6)
7. Derrick Henry, TEN -- RB6, $50 (Bye: 7)
8. Clyde Edwards-Helaire, KC -- RB7, $49 (Bye: 10)
9. Miles Sanders, PHI -- RB8, $48 (Bye: 9)
10. Josh Jacobs, LV -- RB9, $46 (Bye: 6)
11. Nick Chubb, CLE -- RB10, $45 (Bye: 9)
12. Joe Mixon, CIN -- RB11, $45 (Bye: 9)
13. Kenyan Drake, ARI -- RB12, $44 (Bye: 8)
14. Aaron Jones, GB -- RB13, $43 (Bye: 5)
15. Austin Ekeler, LAC -- RB14, $43 (Bye: 10)
16. Davante Adams, GB -- WR2, $40 (Bye: 5)
17. Tyreek Hill, KC -- WR3, $37 (Bye: 10)
18. Julio Jones, ATL -- WR4, $36 (Bye: 10)
19. DeAndre Hopkins, ARI -- WR5, $36 (Bye: 8)
20. Travis Kelce, KC -- TE1, $35 (Bye: 10)
21. Chris Godwin, TB -- WR6, $35 (Bye: 13)
22. Mike Evans, TB -- WR7, $33 (Bye: 13)
23. George Kittle, SF -- TE2, $32 (Bye: 11)
24. Kenny Golladay, DET -- WR8, $32 (Bye: 5)
25. DJ Moore, CAR -- WR9, $31 (Bye: 13)
26. Adam Thielen, MIN -- WR10, $30 (Bye: 7)
27. Amari Cooper, DAL -- WR11, $30 (Bye: 10)
28. Allen Robinson II, CHI -- WR12, $29 (Bye: 11)
29. Odell Beckham Jr., CLE -- WR13, $28 (Bye: 9)
30. JuJu Smith-Schuster, PIT -- WR14, $26 (Bye: 8)
31. Courtland Sutton, DEN -- WR15, $26 (Bye: 8)
32. A.J. Brown, TEN -- WR16, $25 (Bye: 7)
33. Calvin Ridley, ATL -- WR17, $24 (Bye: 10)
34. Lamar Jackson, BAL -- QB1, $23 (Bye: 8)
35. Patrick Mahomes, KC -- QB2, $22 (Bye: 10)
36. Tyler Lockett, SEA -- WR18, $22 (Bye: 6)
37. Robert Woods, LAR -- WR19, $22 (Bye: 9)
38. Cooper Kupp, LAR -- WR20, $21 (Bye: 9)
39. Chris Carson, SEA -- RB15, $21 (Bye: 6)
40. David Johnson, HOU -- RB16, $20 (Bye: 8)
41. Mark Andrews, BAL -- TE3, $19 (Bye: 8)
42. Zach Ertz, PHI -- TE4, $19 (Bye: 9)
43. Todd Gurley II, ATL -- RB17, $18 (Bye: 10)
44. James Conner, PIT -- RB18, $17 (Bye: 8)
45. Jonathan Taylor, IND -- RB19, $17 (Bye: 7)
46. Melvin Gordon, DEN -- RB20, $15 (Bye: 8)
47. Le'Veon Bell, NYJ -- RB21, $15 (Bye: 11)
48. Cam Akers, LAR -- RB22, $14 (Bye: 9)
49. D'Andre Swift, DET -- RB23, $13 (Bye: 5)
50. Terry McLaurin, WAS -- WR21, $13 (Bye: 8)
51. T.Y. Hilton, IND -- WR22, $12 (Bye: 7)
52. Keenan Allen, LAC -- WR23, $11 (Bye: 10)
53. DK Metcalf, SEA -- WR24, $11 (Bye: 6)
54. Jarvis Landry, CLE -- WR25, $10 (Bye: 9)
55. DJ Chark Jr., JAC -- WR26, $10 (Bye: 7)
56. Raheem Mostert, SF -- RB24, $10 (Bye: 11)
57. David Montgomery, CHI -- RB25, $10 (Bye: 11)
58. Devin Singletary, BUF -- RB26, $9 (Bye: 11)
59. Kareem Hunt, CLE -- RB27, $9 (Bye: 9)
60. Antonio Gibson, WAS -- RB28, $9 (Bye: 8)
61. DeVante Parker, MIA -- WR27, $8 (Bye: 11)
62. Michael Gallup, DAL -- WR28, $8 (Bye: 10)
63. A.J. Green, CIN -- WR29, $8 (Bye: 9)
64. Stefon Diggs, BUF -- WR30, $7 (Bye: 11)
65. Tyler Boyd, CIN -- WR31, $7 (Bye: 9)
66. Will Fuller V, HOU -- WR32, $7 (Bye: 8)
67. Marquise Brown, BAL -- WR33, $7 (Bye: 8)
